Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
08 Sep 2025,09 Sep 2025,AMZN MKTP CA*NC8S11UV2  866-216-1072,101.69,,,,,AMZN MKTP CA*NC8S11UV2  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252520006000010612599'
08 Sep 2025,09 Sep 2025,AMZN MKTP CA*O45WS2533  866-216-1072,146.89,,,,,AMZN MKTP CA*O45WS2533  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252520006000010594221'
08 Sep 2025,09 Sep 2025,AMZN MKTP CA*ZM2LJ8XU3  866-216-1072,155.36,,,,,AMZN MKTP CA*ZM2LJ8XU3  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252520006000010600633'
08 Sep 2025,09 Sep 2025,HOLY COW STEAK HOUSE 00 TORONTO,20.78,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT252520006000010595091'
08 Sep 2025,09 Sep 2025,MR. GREEK #106          TORONTO,35.09,,,,,MR. GREEK #106          TORONTO,333 BREMNER BLVD,"TORONTO
ON",M5V 3X9,CANADA,'AT252520006000010627473'
08 Sep 2025,09 Sep 2025,RABBA FINE FOODS #171   TORONTO,7.98,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT252520006000010590034'
08 Sep 2025,09 Sep 2025,REXALL PHARMACY #8141 T TORONTO,19.19,,,,,REXALL PHARMACY #8141 T TORONTO,"UNIT 120
250 UNIVERSITY AVE","TORONTO
ON",M5H 3E5,CANADA,'AT252520006000010635625'
07 Sep 2025,08 Sep 2025,AMZN MKTP CA*GR78Z0443  866-216-1072,25.74,,,,,AMZN MKTP CA*GR78Z0443  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT252510006000010643478'
07 Sep 2025,08 Sep 2025,Brant - Montfort Medite Burlington,30.67,,,,,Brant - Montfort Medite Burlington,796 BRANT ST,"BURLINGTON
ON",L7R 2J2,CANADA,'AT252510006000010622003'
07 Sep 2025,08 Sep 2025,Ichiban Asian All You C UNIONVILLE,46.07,,,,,Ichiban Asian All You C UNIONVILLE,"4261 HWY 7
EAST","MARKHAM
ON",L3R 9W6,CANADA,'AT252510006000010663475'
07 Sep 2025,09 Sep 2025,SHELL C02573            TORONTO,64.64,,,,,SHELL C02573            TORONTO,"400 4TH AVE SOUTHWEST RM
SC 24","CALGARY
AB",T2P 2H5,CANADA,'AT252520006000010628042'
