Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
02 Apr 2026,02 Apr 2026,2403384 ONTARIO LIMITED CALEDON,14.29,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT260920006000010758685'
02 Apr 2026,03 Apr 2026,BELL CANADA (OB)        MONTREAL,211.25,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT260930006000010771151'
02 Apr 2026,02 Apr 2026,CAMBRIDGE GROUP OF CL   416-363-9454,275.98,,,,,CAMBRIDGE GROUP OF CL   416-363-9454,"100 RICHMOND ST WEST
SUITE 401","TORONTO
ON",M5H 3K6,CANADA,'AT260920006000010791219'
02 Apr 2026,03 Apr 2026,NYTIMES DISC*           800-698-4637,2.26,,,,,NYTIMES DISC*           800-698-4637,620 EIGHTH AVE,"NEW YORK
NY",10018,UNITED STATES,'AT260930006000010797698'
02 Apr 2026,03 Apr 2026,REXALL PHARMACY #1974 T TORONTO,4.28,,,,,REXALL PHARMACY #1974 T TORONTO,"63 WELLESLEY ST
EAST","TORONTO
ON",M4Y 1G7,CANADA,'AT260930006000010758810'
02 Apr 2026,03 Apr 2026,REXALL PHARMACY #8141 T TORONTO,122.99,,,,,REXALL PHARMACY #8141 T TORONTO,"UNIT 120
250 UNIVERSITY AVE","TORONTO
ON",M5H 3E5,CANADA,'AT260930006000010758851'
01 Apr 2026,02 Apr 2026,2403384 ONTARIO LIMITED CALEDON,12.48,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT260920006000010753941'
01 Apr 2026,01 Apr 2026,GOOGLE *CLOUD 6QVX5L    G.CO/HELPPAY#,116.86,,,,,GOOGLE *CLOUD 6QVX5L    G.CO/HELPPAY#,"1959 UPPER WATER ST
SUITE 900",NOVA SCOTIA,B3J 3N2,CANADA,'AT260910006000010683443'
01 Apr 2026,01 Apr 2026,INFLUXDATA              SAN FRANCISCO,240.57,168.02 USD,,1.43179,,INFLUXDATA              SAN FRANCISCO,548 MARKET ST,"SAN FRANCISCO
CA",94104,UNITED STATES,'AT260910006000010678370'
01 Apr 2026,02 Apr 2026,POPEYES #12716          TORONTO,22.58,,,,,POPEYES #12716          TORONTO,"109 MCCAUL ST UNITS 26
27","TORONTO
ON",M5T 3K5,CANADA,'AT260920006000010798940'
01 Apr 2026,03 Apr 2026,RABBA FINE FOODS #171   TORONTO,4.74,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT260930006000010780429'
01 Apr 2026,02 Apr 2026,RABBA FINE FOODS #171   TORONTO,10.15,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT260920006000010770116'
31 Mar 2026,31 Mar 2026,2403384 ONTARIO LIMITED CALEDON,13.89,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT260900006000010692423'
31 Mar 2026,01 Apr 2026,AMZN MKTP CA*BG3OK3MA1  866-216-1072,77.96,,,,,AMZN MKTP CA*BG3OK3MA1  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT260910006000010681124'
31 Mar 2026,01 Apr 2026,AMZN MKTP CA*BG4FG4M81  866-216-1072,77.96,,,,,AMZN MKTP CA*BG4FG4M81  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT260910006000010684329'
31 Mar 2026,01 Apr 2026,HENRY'S                 TORONTO,28.24,,,,,HENRY'S                 TORONTO,119 CHURCH ST,"TORONTO
ON",M5C 2G5,CANADA,'AT260910006000010693690'
31 Mar 2026,01 Apr 2026,IMMIGRATION CANADA      OTTAWA,653.00,,,,,IMMIGRATION CANADA      OTTAWA,"70 CREMAZIE 6TH
FLOOR","GATINEAU
QC",J8Y 3P2,CANADA,'AT260910006000010704794'
31 Mar 2026,01 Apr 2026,RABBA FINE FOODS #171   TORONTO,8.38,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT260910006000010663640'
31 Mar 2026,01 Apr 2026,TORONTO PARKING AUTHORI TORONTO,3.25,,,,,TORONTO PARKING AUTHORI TORONTO,"33 QUEEN ST
EAST","TORONTO
ON",M5C 1R5,CANADA,'AT260910006000010674286'
30 Mar 2026,30 Mar 2026,2403384 ONTARIO LIMITED CALEDON,12.54,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT260890006000010721301'
30 Mar 2026,30 Mar 2026,AMZN MKTP CA*BC3ON4BT2  866-216-1072,145.76,,,,,AMZN MKTP CA*BC3ON4BT2  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT260890006000010706742'
29 Mar 2026,29 Mar 2026,2403384 ONTARIO LIMITED CALEDON,12.31,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT260880006000010839670'
29 Mar 2026,30 Mar 2026,RABBA FINE FOODS #171   TORONTO,3.48,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT260890006000010677082'
28 Mar 2026,28 Mar 2026,PAYMENT RECEIVED - THANK YOU,-3519.87,,,,,PAYMENT RECEIVED - THANK YOU,,,,,'10000000010327999841770'
27 Mar 2026,28 Mar 2026,DOORDASHSHELBYSSHAW     DOWNTOWN TORONT,26.59,,,,,DOORDASHSHELBYSSHAW     DOWNTOWN TORONT,"1055 DUNSMUIR ST
SUITE 3000","VANCOUVER
BC",V7X 1K8,CANADA,'AT260870006000010781988'
27 Mar 2026,28 Mar 2026,GYRO MAZDA 00-080432223 EAST YORK,1695.03,,,,,GYRO MAZDA 00-080432223 EAST YORK,139 LAIRD DR,"EAST YORK
ON",M4G 3V6,CANADA,'AT260870006000010810387'
27 Mar 2026,28 Mar 2026,MAD RADISH LEASIDE 2130 TORONTO,18.08,,,,,MAD RADISH LEASIDE 2130 TORONTO,"45 WICKSTEED AVE
UNIT B6","TORONTO
ON",M4G 4H9,CANADA,'AT260870006000010764894'
27 Mar 2026,28 Mar 2026,RABBA FINE FOODS #171   TORONTO,21.04,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT260870006000010762747'
27 Mar 2026,28 Mar 2026,THE INFORMATION         SAN FRANCISCO,64.02,44.99 USD,,1.42298,,THE INFORMATION         SAN FRANCISCO,"1 POST ST
SUITE 1050","SAN FRANCISCO
CA",94104,UNITED STATES,'AT260870006000010766991'
25 Mar 2026,26 Mar 2026,"AUDIBLE, INC*IC30F2PJ3  AMZN.COM/BILL",9.44,,,,,"AUDIBLE, INC*IC30F2PJ3  AMZN.COM/BILL",1 WASHINGTON PARK STE 1600,"NEWARK
NJ",07102,UNITED STATES,'AT260850005000010698156'
25 Mar 2026,26 Mar 2026,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,14.68,,,,,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT260850005000010719052'
24 Mar 2026,25 Mar 2026,AMZN MKTP CA*B52VM9FG0  866-216-1072,439.57,,,,,AMZN MKTP CA*B52VM9FG0  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT260840006000010670228'
24 Mar 2026,25 Mar 2026,AMZN MKTP CA*B561R94O0  866-216-1072,40.56,,,,,AMZN MKTP CA*B561R94O0  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT260840006000010650895'
24 Mar 2026,25 Mar 2026,KFC # 1587 KFC # 1587   SIMCOE,10.05,,,,,KFC # 1587 KFC # 1587   SIMCOE,"154 QUEENSWAY
EAST","SIMCOE
ON",N3Y 0A8,CANADA,'AT260840006000010688132'
22 Mar 2026,24 Mar 2026,SHELL C45022            KITCHENER,83.63,,,,,SHELL C45022            KITCHENER,"400 4TH AVE SOUTHWEST RM
SC 24","CALGARY
AB",T2P 2H5,CANADA,'AT260830006000010631254'
21 Mar 2026,22 Mar 2026,APPLE.COM/BILL          TORONTO,19.20,,,,,APPLE.COM/BILL          TORONTO,120 BREMNER BLVD,"TORONTO
ON",M5J 0A8,CANADA,'AT260810006000010823368'
20 Mar 2026,21 Mar 2026,KFC # 1587 KFC # 1587   SIMCOE,33.76,,,,,KFC # 1587 KFC # 1587   SIMCOE,"154 QUEENSWAY
EAST","SIMCOE
ON",N3Y 0A8,CANADA,'AT260800006000010760753'
19 Mar 2026,19 Mar 2026,APPLE.COM/BILL          TORONTO,4.51,,,,,APPLE.COM/BILL          TORONTO,120 BREMNER BLVD,"TORONTO
ON",M5J 0A8,CANADA,'AT260780006000010703266'
18 Mar 2026,18 Mar 2026,2403384 ONTARIO LIMITED CALEDON,12.54,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT260770006000010632483'
18 Mar 2026,19 Mar 2026,AMZN MKTP CA*B534S1DD2  866-216-1072,9.71,,,,,AMZN MKTP CA*B534S1DD2  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT260780006000010664643'
18 Mar 2026,20 Mar 2026,MCDONALD'S #29131 QPS   TORONTO,18.74,,,,,MCDONALD'S #29131 QPS   TORONTO,109 MCCAUL ST,"TORONTO
ON",M5T 3K5,CANADA,'AT260790006000010713524'
18 Mar 2026,19 Mar 2026,MR. GREEK #106          TORONTO,30.51,,,,,MR. GREEK #106          TORONTO,333 BREMNER BLVD,"TORONTO
ON",M5V 3X9,CANADA,'AT260780006000010696486'
17 Mar 2026,17 Mar 2026,2403384 ONTARIO LIMITED CALEDON,16.60,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT260760006000010635306'
17 Mar 2026,17 Mar 2026,NETFLIX.COM             866-716-0414,9.03,,,,,NETFLIX.COM             866-716-0414,"1200 WATERFRONT CTR
200 BURRARD ST","VANCOUER
BC",V7X 1T2,CANADA,'AT260760006000010653729'
16 Mar 2026,16 Mar 2026,2403384 ONTARIO LIMITED CALEDON,15.25,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT260750006000010697613'
16 Mar 2026,17 Mar 2026,HEY I AM YOGOST 001     TORONTO,11.87,,,,,HEY I AM YOGOST 001     TORONTO,674 YONGE ST,"TORONTO
ON",M4Y 2A6,CANADA,'AT260760006000010633894'
15 Mar 2026,15 Mar 2026,2403384 ONTARIO LIMITED CALEDON,12.54,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT260740006000010779707'
15 Mar 2026,16 Mar 2026,D J*WSJ                 800-568-7625,4.52,,,,,D J*WSJ                 800-568-7625,1211 AVE OF THE AMERICAS FL 7,"NEW YORK
NY",10036,UNITED STATES,'AT260750006000010690798'
15 Mar 2026,16 Mar 2026,ESSO CIRCLE K           MARKHAM,85.24,,,,,ESSO CIRCLE K           MARKHAM,7010 WOODBINE AVE,"MARKHAM
ON",L3R 1A2,CANADA,'AT260750006000010702131'
15 Mar 2026,16 Mar 2026,STARBUCKS COFFEE #57    CAMBRIDGE,10.40,,,,,STARBUCKS COFFEE #57    CAMBRIDGE,210 PINEBUSH RD,"CAMBRIDGE
ON",N1R 8A9,CANADA,'AT260750006000010691868'
14 Mar 2026,15 Mar 2026,PACE PARKING LTD        TORONTO,8.50,,,,,PACE PARKING LTD        TORONTO,350 INGLEWOOD DR,"TORONTO
ON",M4T 1J6,CANADA,'AT260740006000010798650'
14 Mar 2026,15 Mar 2026,RABBA FINE FOODS #171   TORONTO,40.20,,,,,RABBA FINE FOODS #171   TORONTO,126 SIMCOE ST,"TORONTO
ON",M5H 4E6,CANADA,'AT260740006000010787618'
13 Mar 2026,13 Mar 2026,2403384 ONTARIO LIMITED CALEDON,12.54,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT260720006000010673052'
13 Mar 2026,14 Mar 2026,ANTHROPIC               SAN FRANCISCO,33.90,,,,,ANTHROPIC               SAN FRANCISCO,548 MARKET ST,"SAN FRANCISCO
CA",94107,UNITED STATES,'AT260730006000010758538'
13 Mar 2026,14 Mar 2026,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,31.64,,,,,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,548 MARKET ST,"SAN FRANCISCO
CA",94107,UNITED STATES,'AT260730006000010735763'
13 Mar 2026,14 Mar 2026,HOLY COW STEAK HOUSE 00 TORONTO,20.78,,,,,HOLY COW STEAK HOUSE 00 TORONTO,254 QUEEN ST WEST,"TORONTO
ON",M5V 1Z8,CANADA,'AT260730006000010730238'
13 Mar 2026,14 Mar 2026,REXALL PHARMACY #8141 T TORONTO,122.99,,,,,REXALL PHARMACY #8141 T TORONTO,"UNIT 120
250 UNIVERSITY AVE","TORONTO
ON",M5H 3E5,CANADA,'AT260730006000010741916'
13 Mar 2026,14 Mar 2026,SECURITY NATIONAL INSU  MONTREAL,193.08,,,,,SECURITY NATIONAL INSU  MONTREAL,"50 PL CREMAZIE
12TH FLOOR","MONTREAL
QC",H2P 1B6,CANADA,'AT260730006000010714850'
10 Mar 2026,11 Mar 2026,AMZN MKTP CA*BP2ZX5VQ1  866-216-1072,214.69,,,,,AMZN MKTP CA*BP2ZX5VQ1  866-216-1072,181 BAY ST,"TORONTO
ON",M5J 2T3,CANADA,'AT260700006000010621096'
10 Mar 2026,10 Mar 2026,"CURSOR, AI POWERED IDE  NEW YORK",31.48,22.60 USD,,1.39292,,"CURSOR, AI POWERED IDE  NEW YORK","2261 MARKET ST
STE 86466","SAN FRANCISCO
CA",94114,UNITED STATES,'AT260690006000010640672'
10 Mar 2026,11 Mar 2026,KFC # 1587 KFC # 1587   SIMCOE,10.05,,,,,KFC # 1587 KFC # 1587   SIMCOE,"154 QUEENSWAY
EAST","SIMCOE
ON",N3Y 0A8,CANADA,'AT260700006000010635941'
09 Mar 2026,10 Mar 2026,SQUARE ONE INSURANCE S  VANCOUVER,16.34,,,,,SQUARE ONE INSURANCE S  VANCOUVER,"650 WEST GEORGIA ST
SUITE 1410","VANCOUVER
BC",V6B 4N8,CANADA,'AT260690006000010628385'
09 Mar 2026,10 Mar 2026,SWISS CHALET 1958       SIMCOE,30.81,,,,,SWISS CHALET 1958       SIMCOE,"101 QUEENSWAY
EAST","SIMCOE
ON",N3Y 4M5,CANADA,'AT260690006000010653291'
08 Mar 2026,08 Mar 2026,2403384 ONTARIO LIMITED CALEDON,10.16,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT260670006000010770365'
